file_id,valence,arousal,quadrant
771,-0.2138196414881924,0.0688073794066682,low_valence_low_arousal
146,-0.2136522735524757,-0.1832931966769149,low_valence_low_arousal
1765,-0.1743789488981935,-0.3800555741026865,low_valence_low_arousal
1525,-0.2216997319003463,0.0599771628858584,low_valence_low_arousal
1441,-0.2101744506690558,0.0374820289492718,low_valence_low_arousal
919,-0.256887334240549,0.0012416969562396,low_valence_low_arousal
694,-0.3332256601963908,-0.0152237854034357,low_valence_low_arousal
3809,-0.3215286528149383,-0.2296751087806252,low_valence_low_arousal
580,-0.211852384128716,-0.0894725606846918,low_valence_low_arousal
2945,-0.4095219350515457,0.1000472059074165,low_valence_low_arousal
206,-0.2032368616302508,-0.0645821994269721,low_valence_low_arousal
195,-0.1960941987294076,-0.088449235066436,low_valence_low_arousal
600,-0.3551556133792354,0.0894505856109885,low_valence_low_arousal
1400,-0.3474105589838798,-0.1572416255447781,low_valence_low_arousal
1494,-0.4343704574560503,0.1072538173461495,low_valence_low_arousal
3403,-0.3118608602069224,-0.000484161181882,low_valence_low_arousal
179,-0.1856831222421393,-0.0410406711182237,low_valence_low_arousal
1292,-0.2491585578114043,-0.0934748095577592,low_valence_low_arousal
2907,-0.1984426920259287,-0.344670726490875,low_valence_low_arousal
1407,-0.2910554199104967,0.0272500573757636,low_valence_low_arousal
3077,-0.1828131089108698,0.0150407071033836,low_valence_low_arousal
1795,-0.2124854252793893,0.0565015642707712,low_valence_low_arousal
60,-0.2337324657236874,-0.1572871206551369,low_valence_low_arousal
1006,-0.1883485530534668,-0.0968052030143858,low_valence_low_arousal
2306,-0.4266063565118784,0.0410103208931552,low_valence_low_arousal
1318,-0.3468558729420306,0.7164945670266006,low_valence_high_arousal
769,-0.6527156727236546,0.9178748950859386,low_valence_high_arousal
1040,-0.258582563001461,0.6235218971042121,low_valence_high_arousal
3773,-0.2112046152487613,0.8541703143132955,low_valence_high_arousal
1616,-0.4221378006626834,0.3996075813169069,low_valence_high_arousal
529,-0.5527045771660014,0.7814861563451908,low_valence_high_arousal
